,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,Ambilobe,-13.2,49.05,296.92,77,31,2.38,MG,1622392804
258,North Platte,41.1239,-100.7654,288.33,92,90,0.89,US,1622392804
259,Koulamoutou,-1.1303,12.4736,298.67,87,98,0.92,GA,1622392804
260,Petra,30.3222,35.4793,296.27,15,38,2.3,JO,1622392804
261,Chui,-33.6971,-53.4616,286.28,45,4,5.62,UY,1622392804
262,Baruun-Urt,46.6806,113.2792,283.14,72,100,4.7,MN,1622392805
263,Akropong,5.9746,-0.0854,299.68,61,93,5.46,GH,1622392805
264,Chhatarpur,24.9,79.6,309.16,29,57,2.31,IN,1622392806
265,Panama City,8.9936,-79.5197,304.36,72,20,2.57,PA,1622392779
266,Husavik,66.0449,-17.3389,286.1,49,87,7.74,IS,1622392806
267,Rincon,32.296,-81.2354,299.17,54,75,0.45,US,1622392774
268,Danville,36.586,-79.395,289.51,87,90,2.57,US,1622392632
269,Cherskiy,68.75,161.3,284.22,46,12,2.84,RU,1622392806
270,Vila Velha,-20.3297,-40.2925,304.12,59,0,2.24,BR,1622392807
271,Marawi,7.9986,124.2928,292.95,94,100,0.92,PH,1622392807
272,Payo,-3.7508,103.6372,296.31,98,99,0.91,ID,1622392807
273,Acajutla,13.5928,-89.8275,305.26,62,96,2.11,SV,1622392808
274,Grindavik,63.8424,-22.4338,281.12,93,75,8.52,IS,1622392808
275,Kashan,33.9831,51.4364,307.69,9,0,1.55,IR,1622392651
276,Pochutla,15.7432,-96.4661,305.83,45,46,3.02,MX,1622392808
277,Chiredzi,-21.05,31.6667,294.1,25,1,2.65,ZW,1622392808
278,Leshukonskoye,64.8989,45.7622,278.74,57,82,1.68,RU,1622392655
279,Hay River,60.8156,-115.7999,280.14,70,75,3.6,CA,1622392809
280,Goderich,43.7501,-81.7165,292.61,54,0,3.6,CA,1622392809
281,Warsaw,52.2298,21.0118,290.81,44,0,0.89,PL,1622392453
282,Carnarvon,-24.8667,113.6333,289.19,88,0,4.12,AU,1622392810
283,Hervey Bay,-25.2986,152.8535,286.5,82,66,1.34,AU,1622392810
284,Nelson Bay,-32.7167,152.15,287.04,84,80,6.04,AU,1622392810
285,Sayansk,54.1088,102.1648,275.37,76,100,1.65,RU,1622392811
286,Cap-aux-Meules,47.3821,-61.8597,284.18,58,75,3.09,CA,1622392811
287,Lachi,33.3833,71.3386,305.45,18,0,1.6,PK,1622392811
288,Talnakh,69.4865,88.3972,276.09,82,100,11.49,RU,1622392812
289,Severnyy-Kospashskiy,59.0925,57.8008,280.15,96,98,4.19,RU,1622392812
290,Christchurch,-43.5333,172.6333,284.82,94,40,4.02,NZ,1622392812
291,Waingapu,-9.6567,120.2641,297.73,82,95,3.29,ID,1622392812
292,Tshane,-24.0196,21.8684,289.62,32,0,2.64,BW,1622392813
293,Cabedelo,-6.9811,-34.8339,301.52,76,71,6.0,BR,1622392783
294,Khalkhāl,37.6189,48.5258,290.84,26,1,1.76,IR,1622392813
295,Atambua,-9.1061,124.8925,295.42,86,100,0.95,ID,1622392813
296,Wewak,-3.5534,143.6268,300.08,85,99,4.41,PG,1622392814
297,Birao,10.2849,22.7882,308.61,20,31,1.82,CF,1622392814
298,Kibala,9.1104,18.3463,311.12,32,20,4.12,TD,1622392814
299,Longhua,23.6137,114.1919,298.78,96,100,0.98,CN,1622392814
300,Opuwo,-18.0607,13.84,294.25,22,33,3.07,NA,1622392706
301,Chake Chake,-5.2459,39.7666,297.12,85,36,3.5,TZ,1622392815
302,Hamilton,39.1834,-84.5333,289.37,69,90,0.45,US,1622392815
303,Charters Towers,-20.1,146.2667,287.69,92,28,4.64,AU,1622392815
304,Bandarbeyla,9.4942,50.8122,299.56,85,22,13.35,SO,1622392635
305,Sioux Lookout,50.1001,-91.917,285.19,82,90,4.63,CA,1622392816
306,Upington,-28.4478,21.2561,289.36,31,0,1.54,ZA,1622392816
307,Clyde River,70.4692,-68.5914,272.28,86,75,2.06,CA,1622392816
308,San Miguel,13.4833,-88.1833,304.93,62,0,1.03,SV,1622392817
309,Pevek,69.7008,170.3133,276.42,70,0,2.52,RU,1622392817
310,Tura,25.5198,90.2201,296.23,93,9,1.55,IN,1622392721
311,Tabas,33.5959,56.9244,308.72,7,0,4.46,IR,1622392817
312,Nome,64.5011,-165.4064,281.19,36,1,10.29,US,1622392818
313,Brownsville,25.9018,-97.4975,304.21,74,75,4.02,US,1622392761
314,Pangoa,-12.1167,-73.0,302.95,48,78,0.57,PE,1622392818
315,Dongli,23.5656,116.8194,301.14,78,20,4.73,CN,1622392818
316,Honiara,-9.4333,159.95,297.72,89,53,1.54,SB,1622392819
317,Samarai,-10.6167,150.6667,299.44,76,99,6.97,PG,1622392819
318,Vanavara,60.34,102.2797,275.42,93,95,1.17,RU,1622392819
319,Barcelos,41.5388,-8.6151,303.31,60,9,2.29,PT,1622392680
320,Kassala,15.451,36.4,312.66,14,27,3.19,SD,1622392820
321,Mount Isa,-20.7333,139.5,286.02,50,3,0.51,AU,1622392798
322,Bobon,12.5246,124.5636,298.93,88,49,1.73,PH,1622392820
323,Pisco,-13.7,-76.2167,291.49,94,90,3.09,PE,1622392820
324,Cairns,-16.9167,145.7667,294.3,96,75,4.12,AU,1622392821
325,Anloga,5.7947,0.8973,303.27,76,86,6.39,GH,1622392730
326,São Filipe,14.8961,-24.4956,295.69,82,95,4.8,CV,1622392636
327,Colares,38.7992,-9.4469,300.97,54,20,6.21,PT,1622392821
328,Tautira,-17.7333,-149.15,298.15,77,91,7.98,PF,1622392821
329,Charlestown,-32.95,151.6667,286.89,80,87,1.79,AU,1622392822
330,Shibetsu,43.659,145.132,277.7,92,100,6.17,JP,1622392822
331,San Felipe,10.3399,-68.7425,304.67,51,59,1.53,VE,1622392822
332,Kenai,60.5544,-151.2583,283.72,84,90,5.66,US,1622392823
333,Boguchany,58.3814,97.4531,274.06,97,44,1.1,RU,1622392823
334,Eqbālīyeh,35.3022,51.5358,307.67,7,0,1.98,IR,1622392823
335,Galveston,29.3669,-94.9669,300.48,82,90,0.45,US,1622392657
336,Carolina,18.3808,-65.9574,304.32,68,40,8.23,PR,1622392600
337,Kanigoro,-8.13,112.219,296.13,96,98,1.69,ID,1622392824
338,Avera,33.194,-82.5271,297.99,46,40,3.4,US,1622392824
339,Posse,-14.0931,-46.3694,304.24,28,9,4.13,BR,1622392824
340,Yulara,-25.2406,130.9889,286.06,44,100,3.6,AU,1622392825
341,Petropavlovsk-Kamchatskiy,53.0452,158.6483,276.48,87,90,1.4,RU,1622392825
342,Lipin Bor,60.2622,37.9763,280.92,58,81,1.74,RU,1622392825
343,Suez,29.9737,32.5263,304.2,20,96,3.87,EG,1622392826
344,Cootamundra,-34.65,148.0333,275.34,77,0,1.4,AU,1622392826
345,Tessalit,20.1986,1.0114,314.99,5,93,8.07,ML,1622392826
346,La Romana,18.4273,-68.9728,304.35,66,40,7.72,DO,1622392826
347,Batemans Bay,-35.7167,150.1833,279.21,86,0,1.88,AU,1622392804
348,Chabahar,25.2919,60.643,303.75,75,0,3.48,IR,1622392827
349,Auki,-8.7676,160.7034,297.58,89,38,1.8,SB,1622392827
350,Swan Hill,-35.3378,143.5544,278.97,55,0,2.43,AU,1622392827
351,Namatanai,-3.6667,152.4333,299.14,83,93,2.6,PG,1622392828
352,Boa Vista,2.8197,-60.6733,299.14,89,75,1.54,BR,1622392784
353,Towada,40.6127,141.2067,284.93,82,55,3.88,JP,1622392828
354,Sovetskiy,61.3614,63.5842,279.84,86,100,3.92,RU,1622392828
355,Ambon City,-3.6954,128.1814,299.81,81,100,3.42,ID,1622392829
356,Patacamaya,-17.2333,-67.9167,285.8,43,97,4.9,BO,1622392829
